DATA_VENCIMENTO;CONCATENATION;SIGLA;VALOR;VALOR_PAGO
20.03.2021 00:00;UTO POS EMPRESA - SA;ISS PROPRIO;342,500;342,500
20.04.2021 00:00;UTO POS EMPRESA - SA;ISS PROPRIO;553,850;553,850
20.05.2021 00:00;UTO POS EMPRESA - SA;ISS PROPRIO;620,760;620,760
20.06.2021 00:00;UTO POS EMPRESA - SA;ISS PROPRIO;315,730;315,730
20.07.2021 00:00;UTO POS EMPRESA - SA;ISS PROPRIO;540,340;540,340
20.08.2021 00:00;UTO POS EMPRESA - SA;ISS PROPRIO;577,130;577,130
10.03.2021 00:00;UTO POS EMPRESA - SA;TX - INST. REN.;7.928,260;7.928,260
10.03.2021 00:00;ANCO BR EMPRESA - SA;TX - INST. REN.;4.212,770;4.212,770
20.01.2021 00:00;ANCO BR EMPRESA - SA;ISS PROPRIO;10.448,870;10.448,870
20.01.2021 00:00;ANCO BR EMPRESA - SA;ISS - RETIDO;694,680;694,680
20.02.2021 00:00;ANCO BR EMPRESA - SA;ISS PROPRIO;8.814,310;8.814,310
20.02.2021 00:00;ANCO BR EMPRESA - SA;ISS - RETIDO;712,460;712,460
20.03.2021 00:00;ANCO BR EMPRESA - SA;ISS PROPRIO;9.475,700;9.475,700
20.03.2021 00:00;ANCO BR EMPRESA - SA;ISS - RETIDO;691,010;691,010
20.04.2021 00:00;ANCO BR EMPRESA - SA;ISS PROPRIO;9.815,390;9.815,390
20.04.2021 00:00;ANCO BR EMPRESA - SA;ISS - RETIDO;526,350;526,350
20.05.2021 00:00;ANCO BR EMPRESA - SA;ISS PROPRIO;9.885,810;9.885,810
20.05.2021 00:00;ANCO BR EMPRESA - SA;ISS - RETIDO;742,590;742,590
20.06.2021 00:00;ANCO BR EMPRESA - SA;ISS - RETIDO;858,900;858,900
20.06.2021 00:00;ANCO BR EMPRESA - SA;ISS PROPRIO;10.159,110;10.159,110
20.07.2021 00:00;ANCO BR EMPRESA - SA;ISS - RETIDO;696,670;696,670
20.07.2021 00:00;ANCO BR EMPRESA - SA;ISS PROPRIO;10.482,490;10.482,490
20.08.2021 00:00;ANCO BR EMPRESA - SA;ISS - RETIDO;893,840;893,840
20.08.2021 00:00;ANCO BR EMPRESA - SA;ISS PROPRIO;10.232,130;10.232,130
10.03.2021 00:00;ENEFICI EMPRESA - SA;TX. INST.REN. FIXO;728,600;728,600
04.09.2021 00:00;ENEFICI EMPRESA - SA;TAXA ALVARÁ SANITÁRI;328,210;328,210
10.03.2021 00:00;IDINEI  EMPRESA - SA;TX - INST. REN.;262,300;262,300
10.03.2021 00:00;ARIA MA EMPRESA - SA;TX - INST. REN.;1.610,690;
10.03.2021 00:00;ARLOS M EMPRESA - SA;TX - INST. REN.;599,580;599,580
10.03.2021 00:00;ARTORIO EMPRESA - SA;TX - INST. REN.;541,330;
10.03.2021 00:00;ASA LOT EMPRESA - SA;TX - INST. REN.;485,430;485,430
10.03.2021 00:00;ASSIA N EMPRESA - SA;TX - INST. REN.;144,660;144,660
16.06.2021 00:00;ASSIA N EMPRESA - SA;PARCTO;107,180;107,180
16.07.2021 00:00;ASSIA N EMPRESA - SA;PARCTO;107,190;107,190
16.08.2021 00:00;ASSIA N EMPRESA - SA;PARCTO;107,180;107,180
16.09.2021 00:00;ASSIA N EMPRESA - SA;PARCTO;107,180;
16.10.2021 00:00;ASSIA N EMPRESA - SA;PARCTO;107,180;
16.11.2021 00:00;ASSIA N EMPRESA - SA;PARCTO;107,180;
16.12.2021 00:00;ASSIA N EMPRESA - SA;PARCTO;107,180;
10.03.2021 00:00;ENTRO E EMPRESA - SA;TX - INST. REN.;3.475,760;3.475,760
05.04.2021 00:00;ENTRO E EMPRESA - SA;TAXA ALVARÁ SANITÁRI;132,150;132,150
24.03.2021 00:00;ENTRO E EMPRESA - SA;TAXAS;793,440;793,440
10.03.2021 00:00;DVALDO  EMPRESA - SA;TX - INST. REN.;605,900;
10.03.2021 00:00;DMILSON EMPRESA - SA;TX - INST. REN.;1.023,540;1.023,540
13.05.2021 00:00;DMILSON EMPRESA - SA;TAXA ALVARÁ SANITÁRI;198,230;198,230
10.03.2021 00:00;. PAULO EMPRESA - SA;TX - INST. REN.;391,350;391,350
09.01.2021 00:00;LIZANGE EMPRESA - SA;PARCTO;136,340;
20.01.2021 00:00;MPRESA  EMPRESA - SA;ISS - RETIDO;6.312,500;6.312,500
20.02.2021 00:00;MPRESA  EMPRESA - SA;ISS - RETIDO;6.000,740;6.000,740
20.03.2021 00:00;MPRESA  EMPRESA - SA;ISS - RETIDO;6.771,630;6.771,630
20.04.2021 00:00;MPRESA  EMPRESA - SA;ISS - RETIDO;7.143,360;7.143,360
20.05.2021 00:00;MPRESA  EMPRESA - SA;ISS - RETIDO;8.247,760;8.247,760
20.06.2021 00:00;MPRESA  EMPRESA - SA;ISS - RETIDO;6.791,840;6.791,840
20.07.2021 00:00;MPRESA  EMPRESA - SA;ISS - RETIDO;3.513,720;3.513,720
20.08.2021 00:00;MPRESA  EMPRESA - SA;ISS - RETIDO;2.817,390;2.817,390
20.08.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;24,020;
20.08.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;45,360;
20.08.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;45,360;
20.08.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;24,020;24,020
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;45,360;45,360
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;28,550;28,550
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;33,990;33,990
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;37,000;37,000
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;28,550;28,550
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;24,560;24,560
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;1.078,560;1.078,560
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;24,560;24,560
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;46,290;46,290
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;24,560;24,560
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;46,370;46,370
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;46,370;46,370
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;24,560;24,560
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;44,710;44,710
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;766,080;766,080
20.09.2021 00:00;UNICÍPI EMPRESA - SA;ISS RET RCX PÚBLICO;376,560;376,560
10.03.2021 00:00;SMERALD EMPRESA - SA;TX - INST. REN.;454,170;
10.03.2021 00:00;ARMACIA EMPRESA - SA;TX - INST. REN.;403,740;403,740
13.05.2021 00:00;ARMACIA EMPRESA - SA;TAXA ALVARÁ SANITÁRI;201,900;201,900
10.03.2021 00:00;OTIS, O EMPRESA - SA;TX - INST. REN.;1.173,860;1.173,860
20.05.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;667,430;667,430
20.05.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;667,430;667,430
20.04.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;328,050;328,050
20.04.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;420,440;420,440
20.05.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;656,360;656,360
20.05.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;656,360;656,360
20.06.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;640,170;640,170
20.07.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;658,070;658,070
20.07.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;295,820;295,820
20.07.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;305,890;305,890
20.07.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;305,890;305,890
20.03.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;721,260;721,260
20.04.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;656,670;
20.06.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;871,970;871,970
20.07.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;715,870;715,870
20.03.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;130,010;
20.04.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;118,750;118,750
20.05.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;150,800;150,800
20.05.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;133,830;133,830
20.07.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;133,830;133,830
20.04.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;470,540;470,540
20.04.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;347,560;347,560
20.05.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;423,430;423,430
20.05.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;483,160;483,160
20.06.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;1.540,100;1.540,100
20.07.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;1.087,710;1.087,710
20.07.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;242,040;242,040
20.08.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;62,720;
20.08.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;237,920;
20.08.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;1.669,840;1.669,840
20.08.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;24,020;24,020
20.08.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;24,020;24,020
20.08.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;44,710;44,710
20.08.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;45,360;45,360
20.08.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;24,020;24,020
20.08.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;45,360;45,360
20.08.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;44,710;44,710
20.08.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;24,020;24,020
20.08.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;331,110;331,110
20.08.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;57,660;57,660
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;460,900;460,900
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;850,260;850,260
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;50,000;50,000
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;355,590;355,590
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;24,900;24,900
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;753,550;753,550
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;51,270;51,270
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;238,950;238,950
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;385,710;385,710
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;134,670;134,670
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;597,390;597,390
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;328,110;328,110
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;302,790;302,790
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;583,100;583,100
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;159,350;159,350
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;86,260;86,260
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;52,460;52,460
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;367,390;367,390
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;22,130;22,130
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;132,790;132,790
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;60,900;60,900
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;48,720;48,720
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;150,230;150,230
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;70,000;70,000
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;318,920;318,920
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;84,820;84,820
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;128,180;128,180
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;63,020;63,020
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;62,720;62,720
03.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;9,600;
02.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;189,000;189,000
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;237,920;237,920
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;293,080;293,080
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;17,740;
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;44,350;
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;6,650;
20.09.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;39,920;
20.10.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;728,340;
20.10.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;1.008,100;
20.10.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;134,340;
20.10.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;430,110;
20.10.2021 00:00;UNDO MU EMPRESA - SA;ISS RET RCX PÚBLICO;847,550;
10.03.2021 00:00;UMBERTO EMPRESA - SA;TX - INST. REN.;262,300;
10.03.2021 00:00;SNALDO  EMPRESA - SA;TX - INST. REN.;129,490;
10.03.2021 00:00;OSE BAR EMPRESA - SA;TX - INST. REN.;226,390;226,390
10.03.2021 00:00;OSE CAS EMPRESA - SA;TX - INST. REN.;1.252,890;
10.03.2021 00:00;ULIO RO EMPRESA - SA;TX - INST. REN.;326,120;
10.03.2021 00:00;OPO & C EMPRESA - SA;TX - INST. REN.;974,880;974,880
27.08.2021 00:00;OPO & C EMPRESA - SA;TAXA ALVARÁ SANITÁRI;364,680;364,680
10.03.2021 00:00;ARLY HO EMPRESA - SA;TX - INST. REN.;415,000;415,000
10.03.2021 00:00;URILO C EMPRESA - SA;TX - INST. REN.;133,050;133,050
10.03.2021 00:00;SNEY PE EMPRESA - SA;TX - INST. REN.;1.956,730;1.956,730
20.01.2021 00:00;ASSOS M EMPRESA - SA;ISS PROPRIO;162,450;
10.03.2021 00:00;ASSOS M EMPRESA - SA;TX - INST. REN.;1.573,780;1.573,780
20.02.2021 00:00;ASSOS M EMPRESA - SA;ISS PROPRIO;121,000;
20.04.2021 00:00;ASSOS M EMPRESA - SA;ISS PROPRIO;189,500;
20.05.2021 00:00;ASSOS M EMPRESA - SA;ISS PROPRIO;282,500;
20.07.2021 00:00;ASSOS M EMPRESA - SA;ISS PROPRIO;271,200;
20.09.2021 00:00;ASSOS M EMPRESA - SA;ISS PROPRIO;245,700;
10.03.2021 00:00;UEIROZ  EMPRESA - SA;TX - INST. REN.;351,640;351,640
10.06.2021 00:00;UEIROZ  EMPRESA - SA;TAXA ALVARÁ SANITÁRI;201,900;201,900
10.03.2021 00:00;AMIRES  EMPRESA - SA;TX - INST. REN.;655,740;655,740
10.03.2021 00:00;ILVA &  EMPRESA - SA;TX - INST. REN.;12.087,470;12.087,470
10.03.2021 00:00;UTO PEC EMPRESA - SA;TX - INST. REN.;1.578,670;
10.03.2021 00:00;HALIS H EMPRESA - SA;TX - INST. REN.;1.091,570;1.091,570
20.01.2021 00:00;ONINHO  EMPRESA - SA;ISS PROPRIO;1.123,280;1.123,280
12.04.2021 00:00;ONINHO  EMPRESA - SA;PARCTO;342,710;342,710
12.05.2021 00:00;ONINHO  EMPRESA - SA;PARCTO;342,750;342,750
12.06.2021 00:00;ONINHO  EMPRESA - SA;PARCTO;342,710;342,710
12.06.2021 00:00;ONINHO  EMPRESA - SA;PARCTO;342,710;342,710
12.07.2021 00:00;ONINHO  EMPRESA - SA;PARCTO;342,710;342,710
12.08.2021 00:00;ONINHO  EMPRESA - SA;PARCTO;342,710;342,710
12.09.2021 00:00;ONINHO  EMPRESA - SA;PARCTO;342,710;
12.10.2021 00:00;ONINHO  EMPRESA - SA;PARCTO;342,710;
12.11.2021 00:00;ONINHO  EMPRESA - SA;PARCTO;342,710;
12.12.2021 00:00;ONINHO  EMPRESA - SA;PARCTO;342,710;
10.03.2021 00:00;ISTEMA  EMPRESA - SA;TX - INST. REN.;728,780;728,780
10.03.2021 00:00;ARVOARI EMPRESA - SA;TX - INST. CARV.;1.030,600;1.030,600
20.01.2021 00:00;ERTÃO C EMPRESA - SA;ISS PROPRIO;58,410;58,410
20.01.2021 00:00;ERTÃO C EMPRESA - SA;ISS - RETIDO;175,120;175,120
10.03.2021 00:00;ERTÃO C EMPRESA - SA;TX - INST. REN.;1.656,500;1.656,500
20.02.2021 00:00;ERTÃO C EMPRESA - SA;ISS PROPRIO;47,550;47,550
20.02.2021 00:00;ERTÃO C EMPRESA - SA;ISS - RETIDO;181,440;181,440
20.03.2021 00:00;ERTÃO C EMPRESA - SA;ISS PROPRIO;34,300;34,300
20.03.2021 00:00;ERTÃO C EMPRESA - SA;ISS - RETIDO;181,440;181,440
20.04.2021 00:00;ERTÃO C EMPRESA - SA;ISS PROPRIO;71,800;71,800
20.04.2021 00:00;ERTÃO C EMPRESA - SA;ISS - RETIDO;181,440;181,440
20.05.2021 00:00;ERTÃO C EMPRESA - SA;ISS PROPRIO;39,200;39,200
20.05.2021 00:00;ERTÃO C EMPRESA - SA;ISS - RETIDO;181,440;181,440
20.06.2021 00:00;ERTÃO C EMPRESA - SA;ISS PROPRIO;42,350;42,350
20.06.2021 00:00;ERTÃO C EMPRESA - SA;ISS - RETIDO;182,880;182,880
20.07.2021 00:00;ERTÃO C EMPRESA - SA;ISS PROPRIO;9,000;9,000
20.07.2021 00:00;ERTÃO C EMPRESA - SA;ISS - RETIDO;182,880;182,880
20.08.2021 00:00;ERTÃO C EMPRESA - SA;ISS PROPRIO;9,000;9,000
20.08.2021 00:00;ERTÃO C EMPRESA - SA;ISS - RETIDO;182,880;182,880
10.03.2021 00:00;ROGARIA EMPRESA - SA;TX - INST. REN.;343,010;343,010
29.05.2021 00:00;ROGARIA EMPRESA - SA;TAXA ALVARÁ SANITÁRI;201,900;201,900
10.03.2021 00:00;OYAL AP EMPRESA - SA;TX - INST. REN.;2.429,240;
